"","routeid","linknummer","richting","snelheid","uur","weekdag"
"821",753528768,567174,"f",23.5755213128761,10,0
"822",756211260,338508,"t",15.1344872003519,10,0
"823",756211260,81802,"t",13.9133662480907,10,0
"824",756429790,567174,"t",28.090491613868,13,6
"825",759999392,2109159,"t",22.045452398885,14,0
"826",759999392,2335910,"t",20.1224156468042,14,0
"827",759999392,87496,"t",22.9347554303075,14,0
"828",759999392,87506,"t",21.7581303753964,14,0
"829",772096043,81802,"f",14.7456644481515,14,0
"830",772096043,338508,"f",14.4010204441967,14,0
"831",783531676,44408,"f",15.6111585062543,14,2
"832",869401319,81802,"f",11.9742789106974,15,4
"833",874649619,338833,"f",17.3729797982675,13,5
"834",896112083,87506,"f",20.2232698592801,12,6
"835",896112083,87496,"f",20.2233215034827,12,6
"836",904583447,338833,"t",19.2403050475655,16,6
"837",904583447,87791,"f",15.1172579810833,16,6
"838",929628017,87506,"f",23.600898649327,16,0
"839",929628017,87496,"f",22.7750205614562,16,0
"840",929628017,2335908,"t",14.9101373355465,16,0
"841",571064750,566935,"t",22.2052894460724,13,1
"842",571064750,566927,"t",22.8463532861134,13,1
"843",602699618,1744225,"f",17.0700308030744,15,2
"844",608006478,566935,"t",22.9773989836438,18,2
"845",608006478,566927,"t",21.4540809991831,18,2
"846",614437930,1744225,"t",8.64581380618376,13,2
"847",619830181,2336318,"t",22.1918876244117,15,1
"848",619830181,2109155,"t",24.1139520146593,15,1
"849",619830181,567045,"t",23.7237610235187,15,1
"850",630184302,566927,"f",21.009474376453,21,2
"851",630184302,566935,"f",17.9838832900191,21,2
"852",649300362,2109155,"t",24.5010336015505,13,1
"853",658728110,317209,"t",19.7932156246326,11,4
"854",659842495,567045,"f",13.0450520188253,11,4
"855",659842495,1744225,"f",17.8411552471105,11,4
"856",665852725,2336318,"t",19.8086488904067,16,4
"857",665852725,2109155,"t",15.9344606139623,16,4
"858",687975745,562939,"f",14.9994678621938,10,5
"859",691582881,567045,"f",19.7000997189841,12,5
"860",691582881,86071,"t",17.5559884807335,12,5
"861",693073569,2109155,"t",18.5188279873195,13,5
"862",693073569,567045,"t",21.3277588988654,13,5
"863",701663500,567045,"f",14.4472480418841,15,5
"864",702961282,567045,"t",15.9024300425616,17,5
"865",713618764,2336318,"t",22.8092792614026,15,1
"866",713618764,2109155,"t",23.7822020569744,15,1
"867",721686795,86071,"f",15.047510413338,11,6
"868",726141838,566927,"f",18.286358704085,10,6
"869",726141838,566935,"f",20.0080952801006,10,6
"870",730878759,317209,"f",6.16271425312958,12,6
"871",732341622,2336318,"t",23.1731345334271,16,6
"872",732341622,2109155,"t",27.175066528741,16,6
"873",732341622,86071,"f",22.8255852230027,16,6
"874",735651358,86071,"t",23.7308166393699,17,6
"875",735651358,2336318,"f",22.4059612425735,17,6
"876",748243317,566927,"f",21.5633899295613,14,1
"877",748243317,566935,"f",22.2747631784634,14,1
"878",753528768,317209,"t",27.3287813746414,10,0
