"","routeid","linknummer","richting","snelheid","uur","weekdag"
"8250",704464162,441812,"f",8.72027051576083,18,5
"8251",709902095,1354497,"f",17.316273983108,13,5
"8252",709902095,1363943,"t",12.5073654384804,13,5
"8253",709902095,230368,"f",19.2197599589581,13,5
"8254",715318491,440746,"f",19.8987407114595,16,5
"8255",715318491,1882603,"t",19.8282204004825,16,5
"8256",715318491,441078,"f",19.5473260655418,16,5
"8257",715318491,441069,"f",19.5566149362762,16,5
"8258",715318491,441074,"f",15.2080024818029,16,5
"8259",716174690,1361130,"t",18.5077462746082,17,5
"8260",716174690,441732,"t",7.95107505996386,17,5
"8261",716883712,443564,"f",17.9260637216589,7,6
"8262",716883712,1391845,"t",26.7932486773523,7,6
"8263",717965042,1337268,"t",22.3215954952821,8,6
"8264",717965042,1363982,"t",19.0737226465258,8,6
"8265",717965042,442503,"t",28.6263003469346,8,6
"8266",717965042,202705,"t",22.6373197918913,8,6
"8267",717965042,330262,"t",0,8,6
"8268",717965042,443319,"t",17.3493824932876,8,6
"8269",717965042,1354497,"t",23.4284294620332,8,6
"8270",719878490,441797,"f",18.9843831896532,8,6
"8271",719878490,1337268,"t",22.3973777605189,8,6
"8272",719878490,1363982,"t",16.0148519160204,8,6
"8273",719878539,1376988,"t",16.3297085211553,10,6
"8274",723270567,1540693,"f",16.6460416948324,12,6
"8275",723270567,441459,"t",14.7242388172626,12,6
"8276",723270567,206834,"f",10.8343370142699,12,6
"8277",727454957,440746,"t",16.4052578413224,12,6
"8278",727454957,1361353,"t",17.3496284806454,12,6
"8279",727454957,206834,"f",17.1923385552236,12,6
"8280",727454957,202705,"t",22.1927053379762,12,6
"8281",727454957,1361100,"f",17.2485627926661,12,6
"8282",727454957,1361096,"t",12.441857476003,12,6
"8283",727455150,1361098,"t",14.9443408726547,13,6
"8284",728039032,1361100,"f",12.4594322602891,14,6
"8285",728847810,441642,"t",15.0489816219213,14,6
"8286",728847810,1930564,"f",14.028782051762,14,6
"8287",728847810,440746,"t",13.1411690933859,14,6
"8288",728847810,440652,"f",16.8847580612189,14,6
"8289",729252485,1995875,"t",10.485380570351,15,6
"8290",729937395,1540693,"f",14.1904901596036,15,6
"8291",729937395,230368,"t",15.4241457939407,15,6
"8292",729937395,1376988,"f",17.0915463534258,15,6
"8293",730103175,1363943,"t",12.925734016246,14,6
"8294",731570607,441074,"t",17.7151962567344,13,6
"8295",731570607,441069,"t",15.9616170033627,13,6
"8296",731570607,441078,"t",15.2969456513221,13,6
"8297",731570607,440746,"t",17.3631563650931,13,6
"8298",731570607,1361353,"t",17.0935330692901,13,6
"8299",731570607,1376988,"f",17.0919053455533,13,6
"8300",731570607,1354497,"t",21.8818078375394,13,6
"8301",735937479,442084,"f",30.9883178890567,17,6
"8302",735937479,442255,"t",30.9269533468868,17,6
"8303",735937479,442063,"f",32.7757390007468,17,6
"8304",735937479,441892,"f",29.4388341373526,17,6
"8305",735937479,434618,"f",41.8668838045392,17,6
"8306",741600860,1882603,"t",18.0730724607781,16,6
"8307",741600891,441283,"f",13.3661032466304,22,6
"8308",742143533,434618,"f",19.587418860825,16,6
"8309",742731410,1540693,"t",17.4033919344729,9,3
"8310",743440891,1337268,"f",19.8724880643056,16,2
"8311",743440891,442084,"f",19.9195472422861,16,2
"8312",743440891,441892,"f",20.2948392178602,16,2
"8313",743637936,1363982,"f",15.5519359195733,1,0
"8314",743860468,441374,"t",16.0916322349814,1,0
"8315",744317062,442039,"f",24.5163070065089,12,2
"8316",747274757,1354497,"f",27.2003953917325,8,0
"8317",749841445,441074,"f",23.1509175403504,10,0
"8318",753813710,1391845,"f",13.0754522046868,11,0
"8319",755174829,441374,"t",26.7144900866373,12,0
"8320",755174829,441283,"t",21.0364816087894,12,0
"8321",760394540,440746,"t",14.3551136589392,12,0
"8322",760394540,1361353,"t",13.6150594157939,12,0
"8323",760394540,1376988,"f",14.2648473508247,12,0
"8324",762549285,1354497,"f",17.8164690989675,16,6
"8325",762549285,1376988,"t",20.5676853914003,16,6
"8326",763642189,441074,"f",17.8441509038422,16,0
"8327",766218163,441283,"f",22.7603176887477,15,0
"8328",766218163,441374,"f",19.4172474337631,15,0
"8329",767683181,1363982,"f",11.5699784348014,18,0
"8330",767683181,1337268,"f",13.9413248056115,18,0
"8331",767683181,441797,"t",14.2674923897159,18,0
"8332",767683181,441812,"f",11.5640209170598,18,0
"8333",767683181,1337231,"f",13.0748933710061,18,0
"8334",768058128,441642,"t",20.2444068423392,7,5
"8335",768058128,1540693,"f",18.473969256037,7,5
"8336",768058128,1337231,"t",18.5209952395338,7,5
"8337",768058128,441812,"t",15.0326074953859,7,5
"8338",768058128,441797,"f",18.5967818098806,7,5
"8339",768058128,1337268,"t",29.394888242562,7,5
